date,open,high,low,close,volume
1999-01-22,0.0401,0.0448,0.0356,0.0376,5186596
1999-01-25,0.0406,0.0421,0.0377,0.0416,976635
1999-01-26,0.042,0.0428,0.0377,0.0383,655131
1999-01-27,0.0385,0.0394,0.0363,0.0382,466929
1999-01-28,0.0382,0.0385,0.0379,0.0381,434642
1999-01-29,0.0381,0.0382,0.0363,0.0363,466033
1999-02-01,0.0363,0.0373,0.0363,0.037,295541
1999-02-02,0.0363,0.0372,0.033,0.0341,503673
1999-02-03,0.0337,0.0354,0.0335,0.0349,143733
1999-02-04,0.0354,0.0378,0.0349,0.0368,347810
1999-02-05,0.0373,0.0381,0.0363,0.0378,260939
1999-02-08,0.0381,0.0381,0.0365,0.0365,294015
1999-02-09,0.0373,0.0375,0.0346,0.0351,166060
1999-02-10,0.0351,0.036,0.0341,0.0347,282727
1999-02-11,0.0348,0.0391,0.0348,0.0377,252402
1999-02-12,0.0382,0.0401,0.0382,0.0399,209681
1999-02-16,0.0406,0.0423,0.036,0.0401,402925
1999-02-17,0.0392,0.0397,0.0373,0.038,129512
1999-02-18,0.0392,0.0397,0.0375,0.0386,135215
1999-02-19,0.0382,0.0406,0.0377,0.0399,144007
1999-02-22,0.0406,0.0411,0.0379,0.0401,391926
1999-02-23,0.041,0.0428,0.0387,0.042,263542
1999-02-24,0.0482,0.0502,0.0443,0.0454,1170861
1999-02-25,0.0472,0.0487,0.0432,0.0439,284754
1999-02-26,0.0444,0.0458,0.0415,0.0419,329699
1999-03-01,0.043,0.0439,0.0401,0.0421,175913
1999-03-02,0.0421,0.0423,0.0411,0.0418,105624
1999-03-03,0.042,0.042,0.0387,0.0389,117204
1999-03-04,0.0409,0.0411,0.0377,0.0381,109578
1999-03-05,0.0384,0.0403,0.0384,0.0402,150269
1999-03-08,0.0391,0.042,0.0384,0.0408,144792
1999-03-09,0.0407,0.0427,0.0407,0.0421,273306
1999-03-10,0.0426,0.0427,0.0408,0.0414,449080
1999-03-11,0.0407,0.0414,0.0396,0.0396,103555
1999-03-12,0.0399,0.0399,0.0382,0.0389,173286
1999-03-15,0.0399,0.0411,0.0397,0.0406,208000
1999-03-16,0.0409,0.0413,0.0389,0.0393,151238
1999-03-17,0.0396,0.0403,0.0385,0.0395,98063
1999-03-18,0.0397,0.0406,0.0387,0.04,88532
1999-03-19,0.0399,0.0413,0.0399,0.0401,201096
1999-03-22,0.0409,0.0411,0.0389,0.0389,70011
1999-03-23,0.0391,0.0391,0.0358,0.0365,312883
1999-03-24,0.0363,0.0365,0.0348,0.0363,116233
1999-03-25,0.0362,0.0382,0.0361,0.0368,77087
1999-03-26,0.0373,0.0401,0.0373,0.04,168716
1999-03-29,0.0412,0.0422,0.0405,0.0412,126077
1999-03-30,0.0413,0.0416,0.0375,0.0377,132660
1999-03-31,0.039,0.0409,0.0372,0.0404,293818
1999-04-01,0.0404,0.0406,0.0385,0.0392,58203
1999-04-05,0.0387,0.0397,0.0378,0.038,188623
1999-04-06,0.0383,0.0385,0.0363,0.037,133145
1999-04-07,0.0373,0.0403,0.037,0.0401,170482
1999-04-08,0.0403,0.042,0.0398,0.0408,248280
1999-04-09,0.0411,0.0411,0.0399,0.0401,92849
1999-04-12,0.0396,0.0396,0.0377,0.0384,63527
1999-04-13,0.0391,0.0391,0.0363,0.0369,69033
1999-04-14,0.0368,0.0376,0.0358,0.0358,92227
1999-04-15,0.0368,0.0368,0.0358,0.0368,68553
1999-04-16,0.0366,0.0386,0.0366,0.038,74440
1999-04-19,0.0385,0.0385,0.0358,0.0363,59767
1999-04-20,0.0363,0.0378,0.0352,0.0356,129371
1999-04-21,0.0356,0.0363,0.0354,0.0362,71666
1999-04-22,0.0363,0.0363,0.0342,0.0346,433806
1999-04-23,0.0346,0.0347,0.0328,0.033,241051
1999-04-26,0.033,0.0335,0.0306,0.0313,236173
1999-04-27,0.032,0.0348,0.0315,0.0346,433348
1999-04-28,0.0349,0.0349,0.0333,0.0344,229517
1999-04-29,0.0345,0.0346,0.0337,0.0344,92008
1999-04-30,0.0348,0.0364,0.0346,0.0349,190021
1999-05-03,0.0352,0.0352,0.0341,0.0351,64610
1999-05-04,0.0351,0.0351,0.0325,0.0332,183517
1999-05-05,0.0334,0.0339,0.0315,0.0339,275964
1999-05-06,0.0337,0.0344,0.0323,0.0333,68162
1999-05-07,0.0322,0.0336,0.0322,0.0334,47740
1999-05-10,0.0332,0.0341,0.0332,0.0334,37569
1999-05-11,0.0348,0.0363,0.0341,0.0352,327983
1999-05-12,0.0356,0.0364,0.0351,0.0363,321750
1999-05-13,0.0363,0.0373,0.0362,0.0363,133558
1999-05-14,0.0363,0.0363,0.0339,0.0344,54398
1999-05-17,0.034,0.0361,0.0338,0.0361,68434
1999-05-18,0.0364,0.0382,0.0353,0.0377,289232
1999-05-19,0.0395,0.0409,0.0355,0.0361,864471
1999-05-20,0.0363,0.0363,0.0319,0.0332,340437
1999-05-21,0.0328,0.0328,0.0316,0.0325,580501
1999-05-24,0.0328,0.0335,0.0319,0.0324,310966
1999-05-25,0.0325,0.033,0.0322,0.0326,248512
1999-05-26,0.0325,0.0342,0.0325,0.0325,200325
1999-05-27,0.0327,0.0327,0.0322,0.0322,157107
1999-05-28,0.0327,0.0327,0.0322,0.0326,169373
1999-06-01,0.0324,0.0327,0.032,0.0327,188048
1999-06-02,0.0327,0.0327,0.0315,0.0315,248246
1999-06-03,0.0324,0.0326,0.032,0.0324,79486
1999-06-04,0.0326,0.0327,0.0324,0.0326,150758
1999-06-07,0.0328,0.0335,0.0328,0.033,239307
1999-06-08,0.0331,0.0344,0.033,0.0338,292964
1999-06-09,0.0339,0.0351,0.0339,0.0344,181907
1999-06-10,0.0344,0.0346,0.0341,0.0345,68908
1999-06-11,0.0345,0.0346,0.0326,0.0338,116580
1999-06-14,0.0339,0.034,0.0323,0.0325,98785
1999-06-15,0.0325,0.0328,0.032,0.0325,94287
1999-06-16,0.0329,0.0344,0.0324,0.0334,122971
1999-06-17,0.0332,0.0337,0.0325,0.0325,143312
1999-06-18,0.0328,0.0328,0.0313,0.0313,303546
1999-06-21,0.0323,0.033,0.0314,0.033,159630
1999-06-22,0.033,0.033,0.0317,0.0324,369158
1999-06-23,0.032,0.033,0.0317,0.033,403343
1999-06-24,0.0332,0.0332,0.032,0.0322,219858
1999-06-25,0.032,0.033,0.032,0.0327,140326
1999-06-28,0.0338,0.0338,0.0325,0.0332,208555
1999-06-29,0.0337,0.0341,0.0332,0.0336,177272
1999-06-30,0.0346,0.0365,0.0339,0.0365,513748
1999-07-01,0.0365,0.0365,0.0327,0.0346,169929
1999-07-02,0.0351,0.0371,0.0344,0.0371,429169
1999-07-06,0.0375,0.0375,0.0368,0.0373,378689
1999-07-07,0.0375,0.0375,0.0365,0.0365,120445
1999-07-08,0.0368,0.038,0.0356,0.0374,355736
1999-07-09,0.0372,0.0408,0.0372,0.0405,404175
1999-07-12,0.043,0.0442,0.0413,0.0424,766779
1999-07-13,0.0429,0.0431,0.0406,0.0425,265270
1999-07-14,0.0424,0.0434,0.0405,0.0408,263208
1999-07-15,0.0412,0.0425,0.0411,0.0411,261921
1999-07-16,0.0418,0.0423,0.0411,0.0419,198406
1999-07-19,0.042,0.0421,0.0405,0.0408,83248
1999-07-20,0.0408,0.0408,0.0387,0.0401,341331
1999-07-21,0.0396,0.0396,0.0377,0.0389,213973
1999-07-22,0.0387,0.0387,0.0367,0.0371,407001
1999-07-23,0.037,0.0382,0.037,0.0371,153163
1999-07-26,0.0381,0.0381,0.0373,0.0373,117635
1999-07-27,0.0373,0.0375,0.0368,0.0374,188514
1999-07-28,0.0373,0.0385,0.0372,0.038,467014
1999-07-29,0.0372,0.0384,0.037,0.0383,742177
1999-07-30,0.0383,0.0393,0.0381,0.0384,862558
1999-08-02,0.0385,0.0389,0.0382,0.0388,598786
1999-08-03,0.0387,0.0387,0.0374,0.0378,486640
1999-08-04,0.038,0.0381,0.0377,0.0378,171519
1999-08-05,0.0378,0.0384,0.0372,0.0384,458786
1999-08-06,0.0383,0.0385,0.0381,0.0384,350863
1999-08-09,0.0385,0.0389,0.0381,0.0384,59225
1999-08-10,0.0387,0.0409,0.0385,0.0392,405587
1999-08-11,0.0397,0.0423,0.0394,0.0418,377989
1999-08-12,0.042,0.0449,0.0417,0.0438,457426
1999-08-13,0.0439,0.0443,0.043,0.0433,161653
1999-08-16,0.0437,0.0437,0.0403,0.0417,427092
1999-08-17,0.0418,0.0425,0.0407,0.0418,370006
1999-08-18,0.0413,0.0432,0.0405,0.0427,534299
1999-08-19,0.0457,0.0542,0.0442,0.0518,3757011
1999-08-20,0.0519,0.0523,0.0494,0.0513,673862
1999-08-23,0.0506,0.0506,0.0466,0.0482,969773
1999-08-24,0.0475,0.0485,0.0451,0.048,760389
1999-08-25,0.0481,0.0486,0.0459,0.0478,669658
1999-08-26,0.0477,0.0484,0.0463,0.047,525612
1999-08-27,0.048,0.0516,0.0478,0.0497,1056228
1999-08-30,0.0506,0.0515,0.0474,0.0495,303239
1999-08-31,0.0496,0.0539,0.0487,0.0537,1502225
1999-09-01,0.0537,0.0537,0.0504,0.0512,1079737
1999-09-02,0.0495,0.0508,0.0484,0.0506,651383
1999-09-03,0.0516,0.0523,0.0506,0.051,494681
1999-09-07,0.0518,0.0518,0.0505,0.0507,237424
1999-09-08,0.0508,0.0512,0.0506,0.0506,324775
1999-09-09,0.0511,0.0514,0.0489,0.0499,399933
1999-09-10,0.0507,0.0513,0.0504,0.0506,319733
1999-09-13,0.0509,0.0509,0.0485,0.049,333457
1999-09-14,0.049,0.049,0.0473,0.0475,478301
1999-09-15,0.0469,0.0485,0.0466,0.0479,406691
1999-09-16,0.0473,0.0478,0.0461,0.0467,302219
1999-09-17,0.0464,0.0468,0.0449,0.0466,328034
1999-09-20,0.0457,0.0463,0.0449,0.0449,437809
1999-09-21,0.0439,0.0442,0.04,0.0406,1409393
1999-09-22,0.0406,0.0418,0.0382,0.0416,719322
1999-09-23,0.0417,0.0418,0.0377,0.0381,725138
1999-09-24,0.0382,0.0391,0.032,0.0346,1307834
1999-09-27,0.0369,0.0375,0.0346,0.0368,825935
1999-09-28,0.0368,0.0406,0.0368,0.0401,788984
1999-09-29,0.0409,0.0425,0.0363,0.0369,1134594
1999-09-30,0.0382,0.0394,0.0363,0.0368,654874
1999-10-01,0.0361,0.0375,0.0346,0.0365,663594
1999-10-04,0.0378,0.0379,0.0368,0.0373,339508
1999-10-05,0.0372,0.041,0.0372,0.0408,912161
1999-10-06,0.0409,0.0478,0.0406,0.0457,2881528
1999-10-07,0.0476,0.0476,0.0425,0.0427,930236
1999-10-08,0.0427,0.0462,0.0411,0.0449,762337
1999-10-11,0.0453,0.0454,0.0425,0.0437,1040270
1999-10-12,0.0439,0.0444,0.043,0.0431,617063
1999-10-13,0.0426,0.0426,0.0411,0.0419,535531
1999-10-14,0.0421,0.0421,0.0406,0.0411,367606
1999-10-15,0.039,0.041,0.0389,0.0408,402047
1999-10-18,0.0409,0.0409,0.0385,0.0387,411119
1999-10-19,0.0398,0.0398,0.0364,0.0371,589569
1999-10-20,0.0377,0.0389,0.0371,0.0384,665020
1999-10-21,0.0383,0.0402,0.0372,0.0402,729002
1999-10-22,0.0401,0.0424,0.0401,0.0412,548171
